PROFESSOR|DIA DA SEMANA|HORA INICIO|HORA TERMINO|LOCAL|20201
ADRIANO FAGALI DE SOUZA*|Quinta-feira|09:00|12:30|U255
ADRIANO FAGALI DE SOUZA*|Quinta-feira|14:00|17:00|U255
ALEXANDRE MIERS ZABOT*||||
ALEXANDRE MIKOWSKI*|Segunda-feira|09:00|11:00|Bloco U, sala U253, Cálculo Diferencial e Integral
ALEXANDRO GARRO BRITO|Quarta-feira|15:00|17:00|U152
ALINE DURRER PATELLI JULIANI|Quinta-feira|13:30|14:30|U255
ANDERSON WEDDERHOFF SPENGLER*||||
ANDRÉ LUÍS CONDINO FUJARRA*||||
ANDREA HOLZ PFUTZENREUTER|Quarta-feira|10:30|12:00|U287
ANDREA HOLZ PFUTZENREUTER|Quarta-feira|15:30|17:00|U287
ANDREA PIGA CARBONI|Terça-feira|10:30|12:10|U-264
ANTONIO DE ASSIS BRITO NETO*||||
ANTONIO OTAVIANO DOURADO*|Quinta-feira|10:30|11:30|u264
BENJAMIN GRANDO MOREIRA|Sexta-feira|15:00|16:00|U274
BRENO SALGADO BARRA*|Segunda-feira|13:30|15:00|Sala U 266
CARLOS MAURICIO SACCHELLI|Terça-feira|14:00|15:00|U 288
CARLOS MAURICIO SACCHELLI|Quinta-feira|10:30|11:30|u 288
CAROLINA BRANDÃO PEREIRA DE SOUZA*||||
CÁTIA REGINA SILVA DE CARVALHO PINTO*||||
CÉSAR AUGUSTO BORTOT*|Terça-feira|13:00|15:00|U271
CHRISTIANE WENCK NOGUEIRA FERNANDES|Segunda-feira|10:00|12:00|Sala do Professor
CLAUDIMIR ANTONIO CARMINATTI*|Quarta-feira|17:00|19:00|Bloco U - Sala U286 - Campus Joinville
CRISTIANO VASCONCELLOS FERREIRA*||||
DANIEL HASTENPFLUG*|Terça-feira|11:00|12:00|U254
DANIEL HASTENPFLUG*|Terça-feira|13:00|15:00|U254
DANIEL HASTENPFLUG*|Quarta-feira|08:30|12:00|U254
DANIEL HASTENPFLUG*|Quarta-feira|16:00|17:00|U254
